review_id,n_chunks,unique_aspects,n_unique_aspects,latency_ms_total,latency_ms_avg,num_ok,num_not_ok,asin_list,category_list
ELECTRONICS_000032,1,,0,2871,2871.0,0,1,0972683275,Electronics
ELECTRONICS_007492,1,,0,3227,3227.0,0,1,B00004SABB,Electronics
ELECTRONICS_009277,1,,0,2967,2967.0,0,1,B00004THCZ,Electronics
ELECTRONICS_017183,1,,0,3547,3547.0,0,1,B0000511U7,Electronics
ELECTRONICS_022152,1,,0,3615,3615.0,0,1,B00005M1UY,Electronics
ELECTRONICS_027421,1,,0,3277,3277.0,0,1,B00005V8S8,Electronics
ELECTRONICS_031596,1,,0,3678,3678.0,0,1,B000067O7T,Electronics
ELECTRONICS_035468,1,,0,2876,2876.0,0,1,B000068O3C,Electronics
ELECTRONICS_035801,1,,0,2518,2518.0,0,1,B000068O4E,Electronics
ELECTRONICS_038026,1,,0,2660,2660.0,0,1,B00006B81E,Electronics
ELECTRONICS_039966,1,,0,2468,2468.0,0,1,B00006G2OJ,Electronics
ELECTRONICS_041104,1,,0,2975,2975.0,0,1,B00006HVLW,Electronics
ELECTRONICS_042844,1,,0,2704,2704.0,0,1,B00006I5JA,Electronics
ELECTRONICS_073140,1,,0,2661,2661.0,0,1,B0000A98AC,Electronics
ELECTRONICS_082245,2,,0,5592,2796.0,0,2,B0000TO0BQ,Electronics
ELECTRONICS_083442,2,,0,7192,3596.0,0,2,B0000XMW8U,Electronics
ELECTRONICS_093493,1,,0,2502,2502.0,0,1,B0001MQUOC,Electronics
ELECTRONICS_1013181,1,,0,2751,2751.0,0,1,B004RKQM8I,Electronics
ELECTRONICS_102708,1,,0,2452,2452.0,0,1,B0002A9RFM,Electronics
ELECTRONICS_1027901,2,,0,4601,2300.5,1,1,B004TS1IFK,Electronics
ELECTRONICS_1031871,1,,0,2969,2969.0,0,1,B004ULYPVK,Electronics
ELECTRONICS_1034466,1,"added weight, case design, ease of use for children, flip cover functionality, grip requirement, sturdiness",6,3982,3982.0,1,0,B004V9F61O,Electronics
ELECTRONICS_1036715,1,,0,2659,2659.0,0,1,B004VRJ3E2,Electronics
ELECTRONICS_104447,1,,0,2445,2445.0,0,1,B0002BEX8W,Electronics
ELECTRONICS_105242,1,,0,5319,5319.0,0,1,B0002CPBWI,Electronics
ELECTRONICS_1060046,1,,0,2678,2678.0,0,1,B0050I1PHO,Electronics
ELECTRONICS_1092729,1,,0,2818,2818.0,0,1,B0058BDFXA,Electronics
ELECTRONICS_1094584,1,,0,3783,3783.0,0,1,B0058SYDTI,Electronics
ELECTRONICS_109792,2,"battery life, brand origin, cell capacity, cell quality, performance, self discharge",6,5955,2977.5,1,1,B0002IOIMQ,Electronics
ELECTRONICS_1113310,2,,0,8592,4296.0,0,2,B005DIP2Z2,Electronics
ELECTRONICS_1119682,2,,0,7767,3883.5,0,2,B005DWVFT0,Electronics
ELECTRONICS_1130571,1,,0,2761,2761.0,0,1,B005FYNSPK,Electronics
ELECTRONICS_1140330,1,,0,2457,2457.0,0,1,B005HMKKH4,Electronics
ELECTRONICS_1147899,1,,0,2392,2392.0,0,1,B005IH0EYM,Electronics
ELECTRONICS_1153431,1,,0,2871,2871.0,0,1,B005JN9310,Electronics
ELECTRONICS_1170581,1,"usb adapter compatibility, usb hub functionality",2,2140,2140.0,1,0,B005NGQWL2,Electronics
ELECTRONICS_1176513,1,,0,3466,3466.0,0,1,B005PCOKEK,Electronics
ELECTRONICS_1179577,1,,0,4710,4710.0,0,1,B005QD1KNM,Electronics
ELECTRONICS_1194646,1,,0,2551,2551.0,0,1,B005XANE46,Electronics
ELECTRONICS_1198915,3,,0,10807,3602.3333333333335,0,3,B005ZUZD2K,Electronics
ELECTRONICS_1209946,1,,0,3082,3082.0,0,1,B0064YWOQY,Electronics
ELECTRONICS_1210193,1,,0,2647,2647.0,0,1,B006507Q88,Electronics
ELECTRONICS_1230795,4,,0,14351,3587.75,0,4,B006JO22G6,Electronics
ELECTRONICS_1241284,1,,0,2465,2465.0,0,1,B006QZ96XA,Electronics
ELECTRONICS_1242830,2,,0,5124,2562.0,0,2,B006T3H9TM,Electronics
ELECTRONICS_1254042,1,,0,2534,2534.0,0,1,B006YVFGAS,Electronics
ELECTRONICS_1256430,3,"admin password, alarm scheduling, compatibility, motion detection, recording scheduling, setup process, ssid hiding, video review",8,12524,4174.666666666667,1,2,B006ZP8UOW,Electronics
ELECTRONICS_1258333,1,,0,2120,2120.0,0,1,B006ZZSX26,Electronics
ELECTRONICS_1271266,2,,0,5513,2756.5,0,2,B0074O0TK6,Electronics
ELECTRONICS_1284511,2,,0,7422,3711.0,0,2,B0079TOEQQ,Electronics
ELECTRONICS_1292198,1,,0,1909,1909.0,0,1,B007D6UT7I,Electronics
ELECTRONICS_1301953,2,,0,6649,3324.5,0,2,B007ILFFS6,Electronics
ELECTRONICS_1312210,1,,0,2049,2049.0,0,1,B007N6TWF8,Electronics
ELECTRONICS_1320461,1,,0,2146,2146.0,0,1,B007PY3ZPG,Electronics
ELECTRONICS_1321782,1,,0,3781,3781.0,0,1,B007Q8GOHM,Electronics
ELECTRONICS_1323979,1,,0,2730,2730.0,0,1,B007R5YDYA,Electronics
ELECTRONICS_1332905,3,,0,10336,3445.3333333333335,0,3,B007ULT41S,Electronics
ELECTRONICS_1336955,1,,0,2965,2965.0,0,1,B007WTAJTO,Electronics
ELECTRONICS_1338143,1,,0,4714,4714.0,0,1,B007WTAJTO,Electronics
ELECTRONICS_134799,1,,0,2457,2457.0,0,1,B00070QI1I,Electronics
ELECTRONICS_1355336,2,"battery life, delivery speed, fan noise, fit, packaging, price, screen",7,6086,3043.0,1,1,B00829THK0,Electronics
ELECTRONICS_1364136,3,,0,10128,3376.0,0,3,B0084JFM2U,Electronics
ELECTRONICS_1369050,1,,0,2848,2848.0,0,1,B0087AJXSA,Electronics
ELECTRONICS_1387884,1,,0,4295,4295.0,0,1,B008DH4XJQ,Electronics
ELECTRONICS_1390698,1,,0,3067,3067.0,0,1,B008EQZ25K,Electronics
ELECTRONICS_1401811,1,,0,2967,2967.0,0,1,B008JCVF0U,Electronics
ELECTRONICS_1407191,1,,0,2448,2448.0,0,1,B008M3F5UC,Electronics
ELECTRONICS_1431644,1,,0,3749,3749.0,0,1,B008Y8PNQQ,Electronics
ELECTRONICS_143996,1,,0,4706,4706.0,0,1,B0007UQNY0,Electronics
ELECTRONICS_1440351,1,,0,3274,3274.0,0,1,B0092KRAVQ,Electronics
ELECTRONICS_1444619,3,,0,12793,4264.333333333333,0,3,B009443VKE,Electronics
ELECTRONICS_1445129,1,,0,3809,3809.0,0,1,B0094CX5M0,Electronics
ELECTRONICS_1461730,2,,0,5637,2818.5,0,2,B009A6P2VC,Electronics
ELECTRONICS_1465966,1,,0,3949,3949.0,0,1,B009CP4PIW,Electronics
ELECTRONICS_1466042,5,"battery life, built-in ethernet/vga ports, integrated optical drive, software",4,18926,3785.2,1,4,B009CQNPYQ,Electronics
ELECTRONICS_1488086,1,,0,3173,3173.0,0,1,B009RV2B5A,Electronics
ELECTRONICS_1495684,2,,0,6852,3426.0,0,2,B009USAJCC,Electronics
ELECTRONICS_1498034,1,,0,2575,2575.0,0,1,B009VV56TY,Electronics
ELECTRONICS_150708,1,,0,2923,2923.0,0,1,B00092GM0Q,Electronics
ELECTRONICS_1509607,2,"battery life, carrying case, design, noise isolation, sound quality",5,6044,3022.0,1,1,B00A39PPCG,Electronics
ELECTRONICS_1509729,1,,0,3065,3065.0,0,1,B00A3I34EI,Electronics
ELECTRONICS_1533670,1,,0,4196,4196.0,0,1,B00AU0HMGA,Electronics
ELECTRONICS_1545370,1,,0,2704,2704.0,0,1,B00B4G67GK,Electronics
ELECTRONICS_1563676,1,,0,2503,2503.0,0,1,B00BHNNUJ2,Electronics
ELECTRONICS_1568442,1,,0,3157,3157.0,0,1,B00BOHNYTW,Electronics
ELECTRONICS_1571036,1,,0,2963,2963.0,0,1,B00BQ5KHJW,Electronics
ELECTRONICS_160036,1,,0,2128,2128.0,0,1,B0009YJXMS,Electronics
ELECTRONICS_1606040,1,,0,3682,3682.0,0,1,B00D429Y12,Electronics
ELECTRONICS_1608077,1,,0,2520,2520.0,0,1,B00D64K3KY,Electronics
ELECTRONICS_1608451,1,,0,3169,3169.0,0,1,B00D6GINF4,Electronics
ELECTRONICS_1614958,1,,0,5071,5071.0,0,1,B00DHW4HXY,Electronics
ELECTRONICS_1615206,1,,0,2145,2145.0,0,1,B00DIF2BO2,Electronics
ELECTRONICS_1616261,3,"battery warning, bud size, fit, power on/off alerts",4,9614,3204.6666666666665,1,2,B00DIOALPE,Electronics
ELECTRONICS_1631011,1,,0,2836,2836.0,0,1,B00E055H5O,Electronics
ELECTRONICS_1644382,1,,0,4388,4388.0,0,1,B00EMHVVNM,Electronics
ELECTRONICS_1655703,1,"airflow, color, lights, noise",4,2795,2795.0,1,0,B00F6S0XJO,Electronics
ELECTRONICS_1661613,2,"backlighting, backlit, case, hard case keyboard, hardcover, kensington, keyboard setup, keyboard spacing, pairing process, portability, set-up instructions, turning off and on",12,7471,3735.5,2,0,B00FLZ2F5W,Electronics
ELECTRONICS_1669484,1,,0,2499,2499.0,0,1,B00GFHQSZI,Electronics
ELECTRONICS_1671899,4,"battery life, case design, coverage for ipad, function keys, functionality, keyboard, keyboard layout, layout, lightweight design, micro usb cable, packaging, premium look, protection, protective lip, reliability, stroke, swivel mechanism, upper shell, weight",19,15165,3791.25,3,1,B00GP4BVTO,Electronics
ELECTRONICS_1679891,2,,0,7081,3540.5,0,2,B00HSYS3C8,Electronics
ELECTRONICS_172635,1,,0,3278,3278.0,0,1,B000BK107G,Electronics
ELECTRONICS_179983,1,,0,2966,2966.0,0,1,B000BWDL26,Electronics
ELECTRONICS_208748,1,,0,3837,3837.0,0,1,B000FBK3QK,Electronics
ELECTRONICS_231610,1,,0,2546,2546.0,0,1,B000I23TTE,Electronics
ELECTRONICS_241468,1,,0,3519,3519.0,0,1,B000J01I1G,Electronics
ELECTRONICS_248322,1,"bass, sound quality",2,2122,2122.0,1,0,B000JNA4LS,Electronics
ELECTRONICS_257074,1,,0,2223,2223.0,0,1,B000LQFI2I,Electronics
ELECTRONICS_257489,4,"cord plug, dash mount adhesive, friction mount, mount release, portability, price, windshield mount",7,11030,2757.5,2,2,B000LRMS66,Electronics
ELECTRONICS_259229,1,,0,3784,3784.0,0,1,B000LRMS66,Electronics
ELECTRONICS_264001,1,,0,2565,2565.0,0,1,B000MF4I7O,Electronics
ELECTRONICS_264842,11,"3rd party apps, accessories, application availability, audio formats support, battery life, carry bag, crossword application, crossword puzzle applications, current supply, display quality, display size, ebook reader program, font readability, font sizing flexibility, garnet vm, java runtime module, java support, modular mobile broadband capability, n8x0 family of device, nokia internet tablets, operating system compatibility, os compatibility, palm os emulator, pixel density, portability, professional grade applications, screen size, storage capacity, system performance, typing convenience, usb evdo or hsdpa modem, usb port, video streaming support, web-based applications, wifi internet connection, wifi range and sensitivity",36,44909,4082.6363636363635,7,4,B000MK4GGM,Electronics
ELECTRONICS_277494,1,,0,2464,2464.0,0,1,B000NV0SG2,Electronics
ELECTRONICS_281075,1,,0,3178,3178.0,0,1,B000O8R466,Electronics
ELECTRONICS_282068,1,,0,2963,2963.0,0,1,B000OE2OPG,Electronics
ELECTRONICS_285742,3,"customer service, delivery speed, end-plate durability, noise canceling, noise isolation, price",6,11974,3991.3333333333335,1,2,B000OQUMKI,Electronics
ELECTRONICS_293815,1,,0,3986,3986.0,0,1,B000Q6UZBM,Electronics
ELECTRONICS_301231,2,,0,5019,2509.5,0,2,B000R9AAJA,Electronics
ELECTRONICS_313678,1,,0,3780,3780.0,0,1,B000TXNS6G,Electronics
ELECTRONICS_322747,1,,0,2894,2894.0,0,1,B000V0BV52,Electronics
ELECTRONICS_326126,1,,0,2330,2330.0,0,1,B000V6GQCE,Electronics
ELECTRONICS_330919,1,,0,3383,3383.0,0,1,B000VNJD18,Electronics
ELECTRONICS_331089,1,,0,3778,3778.0,0,1,B000VOE466,Electronics
ELECTRONICS_338150,1,,0,2551,2551.0,0,1,B000WBN7KW,Electronics
ELECTRONICS_345293,2,"audio quality, picture quality",2,3474,1737.0,2,0,B000X27YQI,Electronics
ELECTRONICS_351352,1,,0,3557,3557.0,0,1,B000YTRWXU,Electronics
ELECTRONICS_365965,1,,0,3979,3979.0,0,1,B00127VF68,Electronics
ELECTRONICS_369397,3,,0,8175,2725.0,0,3,B0012S4APK,Electronics
ELECTRONICS_376406,7,"cd with drivers and software, cover page addition, document review, fax capture driver, linux readme file, modem communication, modem installation, multilingual manual, os detection, page addition limitation, page merging, phone tools documentation, price value, print to fax driver, printed manual, software functionality, software included",17,32731,4675.857142857143,2,5,B0013FDLM0,Electronics
ELECTRONICS_391311,2,"ear pain, noise cancelation, wearing comfort",3,5732,2866.0,1,1,B0015BYKGI,Electronics
ELECTRONICS_396074,1,,0,3081,3081.0,0,1,B0015TJNEY,Electronics
ELECTRONICS_399083,1,,0,2884,2884.0,0,1,B0016B4GK2,Electronics
ELECTRONICS_405550,11,"battery life, charging, charging devices, charging efficiency, charging multiple items simultaneously, charging source, compatibility, design, operation, performance, portability, power source, price, usb ac adaptor compatibility, usb ports",15,37340,3394.5454545454545,5,6,B0017KH6OU,Electronics
ELECTRONICS_412290,1,,0,2655,2655.0,0,1,B0018QNYSK,Electronics
ELECTRONICS_422340,1,,0,2963,2963.0,0,1,B001A472LA,Electronics
ELECTRONICS_434700,1,,0,2446,2446.0,0,1,B001C9KW8S,Electronics
ELECTRONICS_443155,1,,0,2963,2963.0,0,1,B001DFZ5II,Electronics
ELECTRONICS_443246,1,,0,2566,2566.0,0,1,B001DHECXA,Electronics
ELECTRONICS_450844,1,,0,4183,4183.0,0,1,B001EK5NXO,Electronics
ELECTRONICS_455227,3,,0,13679,4559.666666666667,0,3,B001EYV690,Electronics
ELECTRONICS_459323,1,,0,2869,2869.0,0,1,B001F7AJKI,Electronics
ELECTRONICS_487262,3,,0,12199,4066.3333333333335,0,3,B001L4RLHY,Electronics
ELECTRONICS_494106,1,,0,2455,2455.0,0,1,B001MSVPM6,Electronics
ELECTRONICS_500482,1,,0,4298,4298.0,0,1,B001NS0OZ4,Electronics
ELECTRONICS_503484,1,,0,2857,2857.0,0,1,B001OAOZ2E,Electronics
ELECTRONICS_513050,1,,0,3685,3685.0,0,1,B001QFZMB0,Electronics
ELECTRONICS_517567,2,,0,7577,3788.5,0,2,B001R674LE,Electronics
ELECTRONICS_530397,2,"cable length, price",2,4505,2252.5,1,1,B001TH7GUU,Electronics
ELECTRONICS_531727,1,,0,2915,2915.0,0,1,B001TH7GVE,Electronics
ELECTRONICS_536622,1,,0,3221,3221.0,0,1,B001TX9P6W,Electronics
ELECTRONICS_574174,1,,0,3386,3386.0,0,1,B0029631VI,Electronics
ELECTRONICS_595439,1,"cpu cooling, fan, heat sink, installation, price",5,3174,3174.0,1,0,B002G1YPH0,Electronics
ELECTRONICS_596394,1,,0,2543,2543.0,0,1,B002GHBUFY,Electronics
ELECTRONICS_605010,1,,0,2611,2611.0,0,1,B002I3OZB2,Electronics
ELECTRONICS_610225,1,,0,2664,2664.0,0,1,B002JCOX5U,Electronics
ELECTRONICS_615466,2,,0,5825,2912.5,0,2,B002KANXBG,Electronics
ELECTRONICS_616310,1,,0,2563,2563.0,0,1,B002KETE24,Electronics
ELECTRONICS_617339,1,,0,2976,2976.0,0,1,B002KOERJE,Electronics
ELECTRONICS_625424,1,,0,2558,2558.0,0,1,B002MAPRYU,Electronics
ELECTRONICS_637634,1,,0,4172,4172.0,0,1,B002OXTKI4,Electronics
ELECTRONICS_643547,1,,0,3489,3489.0,0,1,B002QEBMAK,Electronics
ELECTRONICS_652255,1,,0,2454,2454.0,0,1,B002S5NJOE,Electronics
ELECTRONICS_652497,1,,0,2925,2925.0,0,1,B002SABMYI,Electronics
ELECTRONICS_656466,1,,0,4385,4385.0,0,1,B002SZEOLG,Electronics
ELECTRONICS_658974,4,"adjustability, bass boost, battery life, buttons, comfort, ear coverage, portability, sound consistency, sound quality, surround sound, transmitter battery, transmitter cables, transmitter options, transmitter rechargeable station, volume control, weight",16,19099,4774.75,2,2,B002TLT10I,Electronics
ELECTRONICS_667924,1,,0,2551,2551.0,0,1,B002V88HFE,Electronics
ELECTRONICS_701131,1,,0,2312,2312.0,0,1,B0032GO0SW,Electronics
ELECTRONICS_701499,1,,0,3378,3378.0,0,1,B0032HHXVM,Electronics
ELECTRONICS_715859,1,,0,3750,3750.0,0,1,B0036AWR8E,Electronics
ELECTRONICS_716537,3,"key remap, logitech control center version, mac support, mouse button mappings, operating system version, peripheral recognition, settings retention, software installation, usb unity",9,8895,2965.0,2,1,B0036E8V08,Electronics
ELECTRONICS_723842,1,,0,2659,2659.0,0,1,B0037D51FQ,Electronics
ELECTRONICS_727184,1,,0,2645,2645.0,0,1,B00387E5AS,Electronics
ELECTRONICS_729711,1,,0,2693,2693.0,0,1,B0038M3YM8,Electronics
ELECTRONICS_739734,1,"battery life, mouse power saving, mouse range, mouse recognition, reconnect function, sleep function, switch design",7,4084,4084.0,1,0,B003AVN6C0,Electronics
ELECTRONICS_747696,1,,0,2557,2557.0,0,1,B003CH77YK,Electronics
ELECTRONICS_751534,1,,0,2770,2770.0,0,1,B003D15K44,Electronics
ELECTRONICS_751592,1,,0,2559,2559.0,0,1,B003D162J6,Electronics
ELECTRONICS_769418,1,,0,3150,3150.0,0,1,B003EVOQXO,Electronics
ELECTRONICS_792958,1,"carrying case, cord storage, durability, external battery charger, hard case, internal compartment, slim design, usb cable, volume",9,4845,4845.0,1,0,B003LSTD38,Electronics
ELECTRONICS_797333,1,,0,2956,2956.0,0,1,B003M62G10,Electronics
ELECTRONICS_806567,1,,0,4505,4505.0,0,1,B003O2KEPC,Electronics
ELECTRONICS_813976,3,,0,9859,3286.3333333333335,0,3,B003RAE19Q,Electronics
ELECTRONICS_817721,1,,0,2482,2482.0,0,1,B003SW13WQ,Electronics
ELECTRONICS_818158,2,"bass, battery power, connection, design, equalizer, price, sound quality",7,6542,3271.0,1,1,B003SX0NFI,Electronics
ELECTRONICS_823361,1,,0,4013,4013.0,0,1,B003U8EKG4,Electronics
ELECTRONICS_835794,1,,0,3696,3696.0,0,1,B003VW20AW,Electronics
ELECTRONICS_841527,1,,0,2578,2578.0,0,1,B003WUBL0S,Electronics
ELECTRONICS_843481,1,,0,2855,2855.0,0,1,B003X26VV4,Electronics
ELECTRONICS_846838,1,,0,3241,3241.0,0,1,B003XM9774,Electronics
ELECTRONICS_848379,1,,0,4037,4037.0,0,1,B003XU6H8I,Electronics
ELECTRONICS_854012,1,,0,3196,3196.0,0,1,B003YKG2XM,Electronics
ELECTRONICS_859071,1,,0,3378,3378.0,0,1,B003ZSHKIO,Electronics
ELECTRONICS_871024,2,,0,6146,3073.0,0,2,B0041A5OGA,Electronics
ELECTRONICS_872131,1,,0,3277,3277.0,0,1,B0041G633W,Electronics
ELECTRONICS_883153,1,,0,2966,2966.0,0,1,B0042DIZ5S,Electronics
ELECTRONICS_891213,1,,0,3882,3882.0,0,1,B0043T7FXE,Electronics
ELECTRONICS_903364,1,"camera usage, default password entry, external ip access, port forwarding, wireless router setup",5,3383,3383.0,1,0,B00466X9SY,Electronics
ELECTRONICS_914854,1,,0,2536,2536.0,0,1,B0049D1MAQ,Electronics
ELECTRONICS_977828,1,,0,4081,4081.0,0,1,B004LRO7FW,Electronics
ELECTRONICS_981957,2,,0,6799,3399.5,0,2,B004M8S12A,Electronics
ELECTRONICS_982246,1,,0,3886,3886.0,0,1,B004M8SBFW,Electronics
