review_id,aspect,score,status,latency_ms,prompt_tokens,completion_tokens,total_tokens
ELECTRONICS_1034466,,,http_error_404,2224,,,
ELECTRONICS_109792,,,http_error_404,814,,,
ELECTRONICS_1170581,,,http_error_404,776,,,
ELECTRONICS_1256430,,,http_error_404,896,,,
ELECTRONICS_1355336,,,http_error_404,814,,,
ELECTRONICS_1466042,,,http_error_404,778,,,
ELECTRONICS_1509607,,,http_error_404,761,,,
ELECTRONICS_1616261,,,http_error_404,770,,,
ELECTRONICS_1655703,,,http_error_404,822,,,
ELECTRONICS_1661613,,,http_error_404,778,,,
ELECTRONICS_1671899,,,http_error_404,802,,,
ELECTRONICS_248322,,,http_error_404,766,,,
ELECTRONICS_257489,,,http_error_404,756,,,
ELECTRONICS_264842,,,http_error_404,751,,,
ELECTRONICS_285742,,,http_error_404,757,,,
ELECTRONICS_345293,,,http_error_404,722,,,
ELECTRONICS_376406,,,http_error_404,749,,,
ELECTRONICS_391311,,,http_error_404,639,,,
ELECTRONICS_405550,,,http_error_404,796,,,
ELECTRONICS_530397,,,http_error_404,745,,,
ELECTRONICS_595439,,,http_error_404,799,,,
ELECTRONICS_658974,,,http_error_404,751,,,
ELECTRONICS_716537,,,http_error_404,790,,,
ELECTRONICS_739734,,,http_error_404,803,,,
ELECTRONICS_792958,,,http_error_404,796,,,
ELECTRONICS_818158,,,http_error_404,802,,,
ELECTRONICS_903364,,,http_error_404,787,,,
